"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"2","C1, C2, C3, C4","4","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","D1, D2, D3, D4","4","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","D5, D6","2","BTA41","Package_TO_SOT_THT:TO-247-3_Vertical",""
"5","H1","1","L_IN","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"6","H2","1","N_IN","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"7","H3","1","N_OUT","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"8","H4","1","L_OUT","Connector_Pin:Pin_D1.0mm_L10.0mm",""
"9","PS1","1","HLK-PM03","Converter_ACDC:Converter_ACDC_HiLink_HLK-PMxx",""
"10","R1","1","47k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"11","R2, R15","2","10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"12","R3","1","470R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"13","R4","1","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R5, R6, R7, R8, R9, R10, R11","7","220R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"15","R12","1","3m","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"16","R13","1","2m","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder",""
"17","R14","1","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"18","RV1","1","5k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical",""
"19","U1","1","PC817","Package_DIP:DIP-4_W7.62mm",""
"20","U2","1","MOC3020M","Package_DIP:DIP-6_W7.62mm",""
"21","U3","1","ATtiny85-20P","Package_DIP:DIP-8_W7.62mm_Socket",""
"22","U4","1","ESP32-WROOM-32","RF_Module:ESP32-WROOM-32",""
"23","U6","1","74HC164","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"24","U7","1","ACS712xLCTR-30A","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"25","U8","1","D148K","Display_7Segment:D1X8K",""
